,seccion,titulo,fecha,resumen,autor,texto,url
0,pais,Camacho y cumbre van a paro de 48 horas con cierre de fronteras si no abrogan decreto censal,2022-07-30T18:12:31-04:00,"""También le quiero decir a Luis Arce: no juegue con Santa Cruz, no juegue con este pueblo ni subestime su valentía y su fe"", advirtió el Gobernador cruceño, este sába",Redacción,"Si el Gobierno no abroga el decreto supremo que definió la postergación del censo para 2024, habrá un paro de 48 horas, con cierre de fronteras en el departamento de Santa Cruz y bloqueos en la carretera. Ese fue, al menos, el aviso que emitieron la tarde de este sábado los miembros de la segunda ""cumbre departamental"", a la que asistió el gobernador Luis Fernando Camacho. ""De no darse la abrogación del decreto supremo y que se acepte el cronograma que hemos planteado, que se apruebe hasta el 28 de julio de 2023 el censo, entrar el lunes 8 y el martes 9 a un paro de 48 horas, solo que esta vez vamos a agregar... va a haber un cierre de fronteras en todo el departamento de Santa Cruz"". Las entidades que hacen parte de esta cumbre quieren que el proceso censal se desarrolle hasta el 28 de julio de 2023. De lo contrario, advirtieron que masificarán las medidas de protesta. Camacho aprovechó para lanzarle una advertencia al presidente Luis Arce. ""También le quiero decir a Luis Arce: no juegue con Santa Cruz, no juegue con este pueblo ni subestime su valentía y su fe"". Y le achacó la responsabilidad de lo que pueda acontecer. ""La pelota está en su cancha y, de aquí en adelante, lo que suceda es su responsabilidad"". La congregación de las instituciones se llevó adelante la tarde de este sábado, luego de las 15:00, en oficinas del Colegio Médico de Santa Cruz. ",https://www.opinion.com.bo/articulo/pais/camacho-cumbre-van-paro-48-horas-cierre-fronteras-abrogan-decreto-censal/20220730181231875244.html
1,pais,"Cívicos e instituciones instalan ""cumbre""; Fernández no fue invitado y arenga ""¡no al paro!""",2022-07-30T16:00:19-04:00,"El Alcalde de Santa Cruz declaró la mañana de este sábado que varias instituciones “están en la línea que propone él, de ya no seguir maltratando la economía del puebl",Erbol,"El movimiento interinstitucional por adelantar el censo al año 2023 se fractura en la ciudad de Santa Cruz, donde el alcalde Jhonny Fernández ya no fue invitado para la reunión de esta tarde, donde se analiza las próximas medidas de presión, pese a las amenazas del Pacto de Unidad de bloquear Santa Cruz si los dirigentes cruceños promueven un nuevo paro regional. Durante un encuentro con gremialistas, Fernández les explicó que antes de ir al primer paro, expuso sus motivos ante algunos dirigentes que pedían la medida. “¿Y qué dijo el alcalde? No, señores. El alcalde no acepta paros. No estoy de acuerdo con que se realicen paros, queremos trabajar ¡No al paro!, ¡no al paro!”, arengó en coro a sectores gremiales que asistieron a un encuentro donde la autoridad municipal brindó explicaciones de su visita a La Paz. Explicó que no asistiría a la reunión de esta tarde, que comenzó a las 15:00, porque no ha sido invitado, así como tampoco otros sectores como los gremiales y transportistas. Y dijo que el pueblo no solo son las 300 instituciones que se reúnen de emergencia, sino más de mil entidades con presencia de collas, cambas y chapacos y todos deberían hacer conocer su voz, manifestó. Fernández les dijo a los gremiales que su misión es cuidar y proteger el trabajo de ellos para sigan adelante y “ese es el alcalde que tienen”. Luego de que asistiera esta semana a la Casa Grande del Pueblo a la reunión convocada por el presidente Luis Arce, Fernández fue duramente cuestionado por algunos opositores en el entendido de que el Alcalde cruceño aceptó la postergación del censo para dar paso al trabajo de reuniones técnicas para socializar la información y ver la fecha de realización del empadronamiento. Dijo que durante cuatro horas discutieron con Arce y llegaron a la conclusión de que la encuesta debe beneficiar a todos porque no puede haber ganadores ni perdedores. “Puede ser más grande Santa Cruz y, es cierto, vamos a tener más recursos, pero también tenemos que pensar en los que no van a tener, qué les vamos a dar. Hay que compensarles para que ellos tengan obras y lo que se está buscando es que todos tengan las mejores condiciones”, manifestó. A tiempo de ingresar a una reunión extraordinaria con los transportistas, el alcalde Fernández declaró la mañana de este sábado que varias instituciones “están en la línea que propone él, de ya no seguir maltratando la economía del pueblo, y que el censo se tiene que trabajar de una forma técnica. ""Creo que eso es fundamental, dejemos de enfrentarnos, comencemos a trabajar. Día que perdemos, día que se va atrasando el censo”, advirtió. Pidió aprovechar el tiempo para organizarse mientras llega la Comisión Técnica del INE para comenzar a debatir el tema de adelantar el censo. Fernández no encuentra motivo para seguir dilatando el tiempo porque “mientras más estemos en esta confrontación, el tiempo se pierde y el censo no va a llegar como queremos el 2023”, declaró. ",https://www.opinion.com.bo/articulo/pais/civicos-instituciones-instalan-cumbre-jhonny-fernandez-fue-invitado-arenga-paro/20220730160019875230.html
2,pais,"Diseñan un ""manual"" para controlar las agencias de empleo y combatir la trata",2022-07-30T15:06:34-04:00,La ministra Verónica Navia explicó que será un mecanismo út,ABI,"La ministra de Trabajo, Verónica Navia, informó este sábado que esta institución elabora un manual de inspección para controlar las agencias de empleo con el objetivo de erradicar la trata y tráfico de personas. Explicó que se pondrá “especial atención” en las agencias de empleo que ofrecen oportunidades laborales, particularmente a mujeres y hombres jóvenes. “Estamos trabajando en un manual de inspección para verificar y controlar a las agencias de empleo que son un mecanismo importante para el tráfico y trata de personas”, indicó la autoridad. Detalló que el Ministerio cuenta con la Unidad de Derechos Fundamentales (UDF) en la que inspectores especializados recorren el país de “extremo a extremo” para identificar situaciones de trata y tráfico de personas. “Nuestra Unidad de Derechos Fundamentales cuenta con cinco inspectores especializados en tema de trata y tráfico, trabajo infantil y explotación laboral. Es una de las más pequeñas unidades que tenemos, pero es también la que mejores resultados da”, sostuvo Navia. Durante la presentación de la Política Plurinacional Contra la Trata de Personas, Tráfico Ilícito de Migrantes y Delitos Conexos, la Ministra recordó que las víctimas frecuentes para fines de prostitución, explotación laboral y tráfico de órganos son personas en situación de vulnerabilidad que acuden a las agencias de empleo y anuncios publicados en Facebook, redes sociales y otros medios. Es por esta razón que se trabajará de manera integral para dar respuesta a este problema social y laboral. “Vamos a cumplir. Son ambiciones, pero son posibles porque parten de nuestras propias experiencias”, recalcó Navia. ",https://www.opinion.com.bo/articulo/pais/disenan-manual-controlar-agencias-empleo-combatir-trata/20220730150634875228.html
3,pais,Gobierno proyecta especializar a los policías y la Fiscalía en trata y tráfico,2022-07-30T14:34:26-04:00,"El viceministro de Justicia y Derechos Fundamentales, César Siles, presentó este sábado la Política Plurinacional contra la Trata de Personas, Tráfico Ilícito de Migrantes y Delitos Conexos, que recomienda modificar la Ley 2",Urgente.bo,"El viceministro de Justicia y Derechos Fundamentales, César Siles, presentó este sábado la Política Plurinacional contra la Trata de Personas, Tráfico Ilícito de Migrantes y Delitos Conexos, que recomienda modificar la Ley 263, Ley Integral Contra la Trata y Tráfico de Personas, y plantea especializar a la Policía y la Fiscalía en el delito, además de la dotar de los recursos suficientes para afrontar la lucha contra la trata. La política fue trabajada por el Consejo Plurinacional contra la Trata y Tráfico de Personas, y fue aprobada por esta instancia en abril pasado. La Ley 263 tiene 10 años de vigencia, ha servido, a la fecha, para tener a 12 personas condenadas por trata, y hay en curso 400 procesos; “pero necesitamos actualizar la norma, necesitamos atender con esta norma las nuevas formas de captar víctimas, las nuevas formas y finalidades que tiene la trata, que con la evolución, con la modernidad, con la tecnología también han evolucionado”, dijo Siles, en la presentación de la política, en el Hall de la Vicepresidencia del Estado. “Tenemos el documento fundamental, la piedra fundamental; ahora debemos generar políticas para implementarlo, para poderlo cumplir"", añadió. Siles destacó que “un primer resultado de la política plurinacional es la estrategia comunicacional, uniendo esfuerzos”. La política apunta también a generar mayor especialización en la Policía, en la Fiscalía, en el Órgano Judicial, para dar con los tratantes, y desbaratar estas redes, agregó el viceministro. “También nos planteamos como objetivo de la política la dotación de recursos suficientes para que las actuaciones de todas las instituciones que conforman el Consejo se encuentren acorde a los retos que significa la lucha contra la trata de personas. Sin duda, una política sin asignación presupuestaria no va a poder ser implementada, afortunadamente nuestro Consejo también está conformado por el Ministerio de Economía, por el Ministerio de Planificación, vamos a hacer los esfuerzos”, sostuvo. ",https://www.opinion.com.bo/articulo/pais/gobierno-plantea-especializar-policia-fiscalia-trata-trafico-personas/20220730143426875224.html
4,pais,"Con el aval de Camacho, ratifican otra ""cumbre"" para hoy y creen que el paro ""dio frutos""",2022-07-30T12:03:08-04:00,Será la segunda cumbre departamental que sostendrán diferentes organizaciones de Santa Cruz. La cita comenzará a las 15:00. El rector Vicente Cuéllar expresó que recibieron una invitación del Ministerio de Planificaci,Redacción,"Esta tarde, desde las 15:00, algunas organizaciones de Santa Cruz, incluido el gobernador Luis Fernando Camacho, sostendrán la segunda ""cumbre"" departamental, con miras a definir medidas de protesta en contra de la reprogramación del censo. Con Camacho a la cabeza, la mañana de este viernes, la Comisión Interinstitucional de esa región confirmó la realización de la cumbre, que tendrá lugar en el Colegio Médico de Santa Cruz. Fue el rector de la Universidad Autónoma Gabriel René Moreno (UAGRM), Vicente Cuéllar, quien se encargó de ratificar la celebración del encuentro, en el que también estarán los cívicos. Se prevé que existan nuevas medidas de presión en contra del Gobierno. ""Consideramos que es importante consultarles a todas las instituciones que participaron de la anterior cumbre porque nos dieron un mandato. Será en esa instancia donde, primero, tenemos que informar y, segundo, será esta cumbre la que tome algunas determinaciones"", comunicó. DIO ""FRUTOS"" Para Cuéllar, un síntoma positivo de que el paro cívico reciente surtió efecto es que la Comisión ha sido invitada por el Ministerio de Planificación para sostener una reunión para hablar del censo. ""El paro y todos los movimientos que ha realizado la Comisión Interinstitucional han dado sus frutos. Nos invitaron, de parte del Ministerio de Planificación, para participar el jueves en una reunión donde el único tema es el censo. Reclamamos durante todo este tiempo una convocatoria. Fíjense: hemos tenido que esperar seis meses para recién tener la posibilidad de discutir técnicamente toda la etapa precensal, censal y postcensal con los responsables de llevar adelante este censo"". ",https://www.opinion.com.bo/articulo/pais/aval-camacho-ratifican-cumbre-hoy/20220730120308875212.html
5,pais,"Arias: ""Quieren hacer boletas en aimara, quechua y guaraní, ¡pérdida de dinero!""",2022-07-30T11:15:58-04:00,El Burgomaestre paceño evidenció su disconformidad con el hecho de que se incluyan idiomas nativos en la boleta censa,Redacción,"Iván Arias tiene su postura definida: para el Alcalde paceño es una ""pérdida de tiempo"" imprimir boletas para el censo que incluyan idiomas de pueblos originarios como el quechua y el guaraní. El Burgomaestre, que durante el gobierno de Jeanine Áñez asumió como ministro de Obras Públicas, expresó lo siguiente. ""Dicen que quieren hacer boletas en aimara, quechua y guaraní, ¡pérdida de dinero, botadera de dinero, porque no es que el entrevistado lee la encuesta, hay un encuestador que es el que tiene que saber (traducir)! Entonces vamos a botar plata. Nuestro desacuerdo con eso"". Esta posición se contrapone con algunas voces que han venido pidiendo la incorporación de lenguas nativas en la boleta de la encuesta. Puso en duda el avance de la cartografía y de otros elementos que hacen al proceso censal. ""No es m capricho que yo quiero que sea (el censo) este año. Nos hemos enterado, por ejemplo, que la licitación internacional de la digitalización del censo no hay nada. Nos dijeron que la cartografía estaba en un 60, 30%. Resulta que solo en tres ciudades están por encima del 30%"". ",https://www.opinion.com.bo/articulo/pais/arias-dicen-que-quieren-hacer-boletas-aimara-quechua-guarani-perdida-dinero/20220730111558875210.html
6,pais,"Carta de Parra, desde prisión: del ""pecado"" de trabajar con transparencia a ""sobrevivir y sufrir""",2022-07-30T10:52:23-04:00,,Erbol,"Mediante una carta abierta, Elvira Parra, detenida hace más de siete años por el caso del Fondo Indígena, reiteró sus quejas por la retardación de justicia en su caso y las consecuencias que tiene en su salud física y mental. Allí dejó expuesta su crítica, al entender que ella ha trabajado por los pueblos originarios y que es un ""pecado"" actuar con transparencia. ""Con todas estas actitudes demuestran al pueblo y a las nuevas generaciones que dirigirán nuestro país que es un pecado trabajar transparentemente en beneficio del pueblo más necesitado y, sobre todo, por los pueblos indígenas, originarios y comunidades campesinas que fueron postergados muchos años"", se lee en parte del escrito. Parra es exdirectora del Fondioc y está encarcelada desde 2015. Tiene decenas de procesos en su contra y lleva siete años detenida, a pesar de que ya posee sentencia a cinco años, es decir, un tiempo menor del que lleva privada de libertad. En su carta, fechada este viernes 29 de julio, recordó que estuvo siete años y dos meses detenida en el penal de Obrajes de La Paz, pero hace dos meses y 12 días fue llevada a Palmasola. Reclamó contra la decisión del juez Juan Coronado de llevarla a Palmasola, porque la ""perjudicó"", pues perdió el semestre en sus estudios, se alejó de su familia y sus tratamientos, además de empeorar sus enfermedades de gastritis, hipertensión y afectación emocional y psicológica. A eso se suma que, según Parra, sigue esperando a que se le instale la audiencia de juicio oral, después de que la misma fuera suspendida cuatro veces seguidas en dos meses. “Estoy sobreviviendo día a día sin saber hasta cuándo me harán sufrir con tanta incertidumbre, ¿por qué tanto se ensañan conmigo? Estoy muy perjudicada en mis procesos judiciales”, lamentó. Pidió que se respeten sus derechos y ratificó que rechaza someterse a juicio abreviado, como le insiste el juez Coronado, porque sería inculparse. Parra solicitó al pueblo de Santa Cruz que la acompañe en la audiencia programada para el 10 de agosto en el Palacio de Justicia, para el control social. “Que Dios me imparta la justicia divina ya que la justicia de los hombres realmente es muy corrupta y burocrática y me siento realmente decepcionada”, agregó. A continuación, la carta manuscrita   ",https://www.opinion.com.bo/articulo/pais/carta-abierta-parra-pecado-trabajar-transparencia-sobrevivir-sufrir/20220730105223875207.html
7,pais,"Calvo no hace caso al aviso del Pacto de Unidad y la COB, y los llama ""vividores""",2022-07-30T07:54:41-04:00,"Horas antes, el dirigente Juan Carlos Huarachi, a nombre del Pacto de Unidad, advirtió que responderán con “contramarchas y paros” si los actores políticos y lideres cruceños mantienen su línea de “confrontación” usando la postergación del cens",Erbol,"El presidente del Comité Cívico Pro Santa Cruz, Rómulo Calvo, le restó importancia a las amenazas de la Central Obrera Boliviana (COB) y los sectores sociales del Pacto de Unidad, a quienes llamó ""vividores del Estado"". El cívico dijo ""no sorprenderse"" ante las declaraciones que hizo el secretario ejecutivo del ente matriz de los trabajadores, Juan Carlos Huarachi, por su afinidad al Movimiento Al Socialismo (MAS). ""(Las amenazada de movilizaciones) es algo a lo que le restamos completamente importancia. No representan a los trabajadores, para mí, son unos vividores del Estado"", afirmó consultado al respecto. Horas antes, el dirigente de la COB, a nombre del Pacto de Unidad, advirtió que responderán con “contramarchas y paros” si los actores políticos y lideres cruceños mantienen su línea de “confrontación” usando la postergación del censo. El proceso censal, fijado inicialmente para el 16 de noviembre de este año, fue aplazado hasta 2024 como resultado del acuerdo entre el presidente Luis Arce y los ocho gobernadores en el Consejo Nacional de Autonomía (CNA). La reprogramación generó críticas y rechazo en varias autoridades, principalmente de Santa Cruz, que advirtieron con asumir “nuevas acciones” este sábado si el Gobierno no retrocede en su decisión. ""Lo ven aquí a (Rolando) Borda, que se pone el casco en toda la conferencia de prensa (pero) hace 30 años que no conoce un pozo Petrolero"", añadió en referencia al dirigente de la Central Obrera Departamental (COD) de Santa Cruz. ",https://www.opinion.com.bo/articulo/pais/calvo-minimiza/20220730075441875200.html
8,pais,"Pacto de Unidad advierte con contramarchas si políticos cruceños se ""atreven"" a tomar medidas",2022-07-29T19:58:17-04:00,"“No vamos a permitir de que estén politizando el Censo de Población y Vivienda, no vamos a permitir que estén perjudicando a la población, a los trabajadores, a los comerciantes, transportistas a todos quienes son parte de la reconstrucción económica y productiva del país”, afirmó Huarach",ERBOL,"El Pacto de Unidad, integrado por organizaciones sociales afines al MAS, advirtió este viernes que si es que políticos cruceños activan medidas de presión por el Censo, responderán con contramarchas, paros y bloqueos. “Si ellos (políticos de Santa Cruz) se atreven hacer alguna acción, alguna medida, de igual manera nosotros inmediatamente vamos a accionar con marchas, con contramarchas, con paros, con bloqueos de igual manera vamos accionar”, dijo Juan Carlos Huarachi, ejecutivo de la Central Obrera Boliviana (COB) en Casa Grande del Pueblo. El pronunciamiento se dio después de que el Pacto de Unidad se reunió con el presidente Luis Arce. “No vamos a permitir de que estén politizando el Censo de Población y Vivienda, no vamos a permitir que estén perjudicando a la población, a los trabajadores, a los comerciantes, transportistas a todos quienes son parte de la reconstrucción económica y productiva del país”, afirmó Huarachi. Instituciones de Santa Cruz ya realizaron un paro de 24 horas en demanda de que se anule el decreto que posterga el Censo hasta 2024. El fin de semana tendrán una cumbre, donde también podrían decidir más medidas de presión. El ejecutivo de la Confederación Sindical Única de Trabajadores Campesinos (CSUTCB), Eber Rojas, llamó a los representantes cruceños a que reflexionen y que no activen medidas que dividan al país, sino que busquen la unidad. Rojas dijo también que las organizaciones listas siempre están listas para responder con contramarchas, cuando la derecha pretenda realizar sus movilizaciones. ",https://www.opinion.com.bo/articulo/pais/pacto-unidad-advierte-contramarchas-politicos-crucenos-atreven-tomar-medidas/20220729193117875167.html
9,pais,Se incendia una empresa de mudanza en Santa Cruz,2022-07-29T19:56:29-04:00,"La policía se encuentra en el lugar cerrando vías, despejando a las comerciantes y transeúntes de los alrededores, para facilitar el trabajo de los bombero",URGENTE.BO,"Se incendió la noche de este viernes parte de la empresa de trasporte de mudanza “Lozada Express”, ubicado en el Cuarto Anillo de Santa Cruz. Bomberos y personal policial ya se encuentran en el lugar, para tratar de controlar el fuego. La Policía se encuentra en el lugar cerrando vías, despejando a las comerciantes y transeúntes de los alrededores, para facilitar el trabajo de los bomberos. Aún se desconoce las causas del incendio, en imágenes que circulan en redes sociales se observa que el fuego inmenso dentro de una de las bodegas de esta empresa, además del humo negro que desprende. ",https://www.opinion.com.bo/articulo/pais/incendio-empresa-mudanza-santa-cruz/20220729194140875169.html
